id,name,latitude,longitude,Property Type
2041915113,Ganapati Temple,12.3309801,76.6286653,place of worship
2403668129,McDonald's,12.3129434,76.6446722,food service
2467741283,Acme Auto gas,12.3181954,76.663362,fuel
2499175883,HDFC,12.3304803,76.6452435,financial
2623349034,Elements Bistro,12.3189459,76.6252994,food service
2623349044,Indian Oil,12.31842,76.6487789,fuel
2623349243,Axis Bank,12.3184023,76.6505331,financial
2623349399,State Bank,12.3186093,76.6508496,financial
2919065477,Bell Platter,12.3259335,76.6266137,food service
2919093812,Cubs & Mezzaluna,12.3267251,76.6273263,cafe
3201690881,Giri,12.3105013,76.6580399,bar/club
3216971069,Goli,12.3052457,76.6471556,food service
3217132915,State Bank of India,12.3164518,76.6236194,financial
3217139437,State Bank of India,12.3227206,76.6245615,financial
3217147025,State Bank of India,12.3163077,76.6277322,financial
3237866162,Andhra Bank,12.3061956,76.6445225,financial
3277984105,Madwadi Gujrathi,12.3102725,76.6581207,food service
3277991949,Karnataka Bank,12.3084901,76.6639936,financial
3279674182,Syndicate Bank,12.3060935,76.6471562,financial
3287005679,Bharat Petroleum,12.3128198,76.6462771,fuel
3328029791,Vidyavardhaka First Grade College,12.3178147,76.6484991,education
3380635539,Indian Oil Fuel Station,12.3252255,76.6582374,fuel
3380635540,Bharat Petroleum,12.3254574,76.6585825,fuel
3390566641,State Bank of India,12.328986,76.6635208,financial
3390584860,Five Star Chicken,12.3288029,76.6635272,food service
3390730016,Canara Bank,12.3092893,76.6524423,financial
3390754893,Rajkamal Theater,12.3102276,76.6493661,cinema
3390821809,Indian Overseas Bank,12.313578,76.6564205,financial
3390869366,Sri Lakshmi Venkateshwara Temple,12.326195,76.659894,place of worship
3394795706,Kamat Yatrinivas,12.3310929,76.6470596,food service
3519942770,Polar Bear ice cream,12.3225134,76.6225131,food service
3519952006,ICICI Bank,12.3238911,76.6267867,financial
3523796694,Dolphin,12.3063856,76.645686,food service
3564771332,Tina's Cafe,12.3280309,76.6286193,cafe
3564847547,Madhwa Bhavan,12.3234015,76.628527,food service
3572684298,Cafe Coffee Day,12.3266498,76.6268461,cafe
3582600596,Indian Overseas Bank,12.3238764,76.6385564,financial
3582601193,Barrista,12.3248093,76.6315102,cafe
3584612349,Karnataka Bank,12.3246914,76.6238176,financial
3584612750,Cuppa,12.3246835,76.6238659,cafe
