id,name,latitude,longitude,Property Type
11178140427,Bharathi Refreshments,12.9603952,77.5691466,food service
11178141192,Haldiram's,12.9480492,77.5697053,food service
11178144028,Axis Bank Cards & Merchant Acquiring,12.9496068,77.5702581,financial
11178144188,Sri Sai Vasavi Tiffin Centre,12.9571591,77.571976,food service
11178150970,Udipi Aatithya,12.9570712,77.5703413,food service
11178150971,Karnataka Bank,12.9571059,77.5705359,financial
11178151445,Kidzee Basavanagudi,12.9508576,77.5701506,education
11188703543,Dumont Creamery,12.9732954,77.6033744,food service
11214889005,Thenga Manga,12.9706241,77.6072636,food service
11214889007,Starbucks,12.972545,77.6073523,cafe
11215990973,Lalbagh Grand,12.9475467,77.5797314,food service
11215990978,Ibaco,12.947648,77.5798005,food service
11295714523,Murugan Cafe,12.9540945,77.5913153,cafe
11295814509,KFC,12.9566336,77.5922681,food service
11295826654,Sri Vishnu Bhavan,12.9550053,77.592512,food service
11296585668,Coastrica Bar & Rest,12.9554251,77.5800148,food service
11304774639,The Cane Joint,12.9675719,77.5746436,food service
11304774640,Bhavani Juice Center,12.9697214,77.5757325,food service
11304774643,Hotel Raghavendra Prasanna,12.9690078,77.5750942,food service
11331558610,Union Bank,12.9589981,77.5825067,financial
11355730140,Yes Bank,12.9596838,77.5829494,financial
11355730141,State Bank of India,12.9607154,77.5835644,financial
11356383323,SMOOR,12.972872,77.6002751,cafe
11391159326,Shanti Hotel,12.9672311,77.6141651,food service
11416992093,HDFC Bank,12.9596245,77.5832707,financial
11463203516,Dishkeyaun,12.9727544,77.6068494,food service
11468638832,Homiga,12.9728208,77.6066762,food service
11476370291,Yes Bank,12.9653142,77.5953153,financial
11476370293,New Mohan Restaurant & Bar,12.9657039,77.5953613,food service
11478272175,Cane City,12.971351,77.6067041,food service
11548946995,Ajanta,12.971521,77.6155091,food service
11557028551,Wine In Progress,12.9584871,77.592916,bar/club
11578449948,Ouro,12.9727753,77.606803,food service
11602938154,BBMP High School,12.9569478,77.6015303,education
11609572818,Third Wave Coffee Roasters,12.9704771,77.6070212,cafe
11609591871,bychance,12.972836,77.6075385,food service
11665637081,Indian Bank,12.9643591,77.5968522,financial
11665637083,IDBI Capital,12.9646453,77.5972867,financial
11665637089,LifeTree Cafe,12.9647773,77.5986103,food service
11693091281,Government Science College,12.9736287,77.5861788,education
11693091282,Government Arts College,12.9738939,77.5850362,education
11780029032,Axis Bank,12.9735722,77.6156144,financial
11803799804,Bastian,12.9697995,77.6000632,food service
11897302869,Easy Tiger,12.9743666,77.6072198,bar/club
11951612834,Bucket Biryani,12.9670641,77.6089265,food service
11962616017,The Living Room,12.9737711,77.6092416,cafe
11962616019,Shiv Sagar,12.9744579,77.6095119,food service
11974938661,Sour Berry,12.9713666,77.6053523,food service
11975333361,Ithaca,12.9659664,77.5987275,cafe
11975333361,Reliance Trends,12.9659665,77.5987274,clothes
11975333361,Westside,12.9657445,77.5986399,clothes
11975333361,Zudio,12.9757445,77.6986399,clothes
